x,y,z
-45.6,-0.4,0.0
-45.6,-0.3,0.0
-45.6,-0.2,0.0
-45.6,-0.1,0.0
-45.6,0.0,0.0
-45.5,-1.0,0.4443526170798898
-45.5,-0.9,0.0
-45.5,-0.8,0.0
-45.5,-0.7,0.0
-45.5,-0.6,0.0
-45.5,-0.5,0.0
-45.5,-0.4,0.0
-45.5,-0.3,0.0
-45.5,-0.2,0.0
-45.5,-0.1,0.0
-45.5,0.0,0.0
-45.4,-1.0,0.4823148148148148
-45.4,-0.9,0.0
-45.4,-0.8,0.0
-45.4,-0.7,0.0
-45.4,-0.6,0.0
-45.4,-0.5,0.0
-45.4,-0.4,0.0
-45.4,-0.3,0.0
-45.4,-0.2,0.0
-45.4,-0.1,0.0
-45.4,0.0,0.0
-45.3,-1.0,0.5219421101774043
-45.3,-0.9,0.0
-45.3,-0.8,0.0
-45.3,-0.7,0.0
-45.3,-0.6,0.0
-45.3,-0.5,0.0
-45.3,-0.4,0.0
-45.3,-0.3,0.0
-45.3,-0.2,0.0
-45.3,-0.1,0.0
-45.3,0.0,0.0
-45.2,-1.0,0.5446296296296296
-45.2,-0.9,0.0
-45.2,-0.8,0.0
-45.2,-0.7,0.0
-45.2,-0.6,0.0
-45.2,-0.5,0.0
-45.2,-0.4,0.0
-45.2,-0.3,0.0
-45.2,-0.2,0.0
-45.2,-0.1,0.0
-45.2,0.0,0.0
-45.1,-1.0,0.4861111111111111
-45.1,-0.9,0.0
-45.1,-0.8,0.0
-45.1,-0.7,0.0
-45.1,-0.6,0.0
-45.1,-0.5,0.0
-45.1,-0.4,0.0
-45.1,-0.3,0.0
-45.1,-0.2,0.0
-45.1,-0.1,0.0
-45.1,0.0,0.0
-45.0,-1.0,0.36358024691358026
-45.0,-0.9,0.0
-45.0,-0.8,0.0
-45.0,-0.7,0.0
-45.0,-0.6,0.0
-45.0,-0.5,0.0
-45.0,-0.4,0.0
-45.0,-0.3,0.0
-45.0,-0.2,0.0
-45.0,-0.1,0.0
-45.0,0.0,0.0
-48.0,-1.0,28.7006105006105
-48.0,-0.9,25.219871794871796
-48.0,-0.8,18.91199633699634
-48.0,-0.7,13.71007326007326
-48.0,-0.6,1.901190476190476
-48.0,-0.5,0.7562271062271062
-48.0,-0.4,0.861904761904762
-48.0,-0.3,0.9907509157509158
-48.0,-0.2,1.1108058608058609
-48.0,-0.1,0.7651098901098901
-48.0,0.0,0.4039072039072039
-47.9,-1.0,41.51592592592593
-47.9,-0.9,28.204166666666666
-47.9,-0.8,22.249305555555555
-47.9,-0.7,17.266875
-47.9,-0.6,9.776319444444445
-47.9,-0.5,1.7005555555555556
-47.9,-0.4,1.4495833333333332
-47.9,-0.3,0.9347916666666667
-47.9,-0.2,1.1088194444444444
-47.9,-0.1,0.8345833333333333
-47.9,0.0,0.35805555555555557
-47.8,-1.0,39.88
-47.8,-0.9,29.591319444444444
-47.8,-0.8,26.012013888888887
-47.8,-0.7,15.960555555555555
-47.8,-0.6,8.774236111111112
-47.8,-0.5,2.32375
-47.8,-0.4,1.3749305555555555
-47.8,-0.3,0.9220138888888889
-47.8,-0.2,1.0627083333333334
-47.8,-0.1,1.0128472222222222
-47.8,0.0,0.5046296296296297
-47.7,-1.0,25.472455648926235
-47.7,-0.9,22.515056022408963
-47.7,-0.8,20.985854341736694
-47.7,-0.7,15.995238095238095
-47.7,-0.6,10.570658263305322
-47.7,-0.5,2.2095238095238097
-47.7,-0.4,1.4247899159663866
-47.7,-0.3,1.159733893557423
-47.7,-0.2,1.0836834733893557
-47.7,-0.1,1.2250700280112046
-47.7,0.0,0.7564892623716153
-47.6,-1.0,31.98925925925926
-47.6,-0.9,30.668055555555554
-47.6,-0.8,26.474305555555556
-47.6,-0.7,13.929583333333333
-47.6,-0.6,5.0436805555555555
-47.6,-0.5,1.7178472222222223
-47.6,-0.4,1.4841666666666666
-47.6,-0.3,1.4313194444444444
-47.6,-0.2,1.1193055555555556
-47.6,-0.1,1.1755555555555555
-47.6,0.0,0.9248148148148149
-47.5,-1.0,30.31900826446281
